,Name,Distance,Mass,Radius
817,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115
819,2MASS J07075327-4900503,60.0,0.068730336,0.10584589
821,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.1007077399999999
823,2MASSI J0727182+171001 [de],29.6,0.039138108,0.0965972199999999
825,2MASS J07290002-3954043 [de],25.8,0.035319756,0.0965972199999999
827,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.0965972199999999
829,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589
831,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999
833,DENIS J081730.0-615520,16.1,0.042001872,0.0965972199999999
835,2MASS J08251968+2115521 [de],35.0,0.049638576000000004,0.1007077399999999
837,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.1017353699999999
839,LHS 2021,55.0,0.084003744,0.1181774499999999
841,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.0986524799999999
843,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
845,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763
847,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
849,2MASSI J0859254-194926 [de],50.0,0.0477294,0.1007077399999999
851,2MASSI J0937347+293142,20.0,0.040092696000000004,0.0965972199999999
853,2MASS 0939−2448,17.4,0.030546816,0.0976248499999999
855,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999
857,2MASS J10073369-4555147,46.0,0.042001872,0.0965972199999999
859,2MASSI J1010148-040649 [de],55.0,0.048683988000000004,0.1007077399999999
861,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999
863,2MASSW J1036530-344138 [de],53.0,0.046774812,0.0996801099999999
865,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.0965972199999999
867,DEN 1048-3956,13.15,0.073503276,0.10995641
869,Luhman 16B,6.516,0.041047284,0.10481826
871,Luhman 16A,6.516,0.03818352,0.10379063
873,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763
875,TWA 28,180.0,0.034365168,0.24560357
877,Cha 110913-773444,163.0,0.007636704,0.1849733999999999
879,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612
881,2MASS J11145133−2618235,18.2,0.031501404000000004,0.0986524799999999
883,TWA 26,137.0,0.028637640000000002,0.2260786
885,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445
887,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763
889,2MASS J12074836-3900043,217.0,0.016227996,0.17572473
891,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.0965972199999999
893,2M 1237+6526,45.6,0.039138108,0.0965972199999999
895,TWA 29,262.0,0.001909176,2.569075
